ok  	github.com/joeycumines/one-shot-man/cmd/osm	0.598s
goos: darwin
goarch: arm64
pkg: github.com/joeycumines/one-shot-man/internal
cpu: Apple M2 Pro
BenchmarkFileSystemIO/AtomicWriteFile-10                  	     226	   6107893 ns/op	    1544 B/op	      13 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    8142	    131799 ns/op	   48497 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    9135	    126221 ns/op	   48486 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    9286	    128687 ns/op	   48537 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    8342	    130215 ns/op	   48461 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    8791	    132381 ns/op	   48461 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   25298	     49223 ns/op	   19251 B/op	     103 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   22611	     48706 ns/op	   19253 B/op	     103 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   26775	     43478 ns/op	   19253 B/op	     103 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   27586	     43554 ns/op	   19255 B/op	     103 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   27596	     43837 ns/op	   19254 B/op	     103 allocs/op
BenchmarkConfigLoading/NewConfig-10                                   	74642336	        15.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/NewConfig-10                                   	75606819	        16.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/NewConfig-10                                   	70339802	        16.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/NewConfig-10                                   	74027805	        15.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/NewConfig-10                                   	75070964	        15.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionGet-10                             	63824551	        18.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionGet-10                             	63818044	        19.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionGet-10                             	64008534	        18.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionGet-10                             	63952814	        18.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionGet-10                             	64234384	        18.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionSet-10                             	49239522	        24.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionSet-10                             	49414912	        24.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionSet-10                             	49167314	        24.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionSet-10                             	48133087	        27.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigOptionSet-10                             	49403722	        24.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigLoadFromReader-10                        	2026/02/16 19:55:39 WARN [Config] unknown global option: "global-option" (value: "global-value")
BenchmarkConfigLoading/ConfigLoadFromReader-10                        	2026/02/16 19:55:40 WARN [Config] unknown global option: "global-option" (value: "global-value")
BenchmarkConfigLoading/ConfigLoadFromReader-10                        	2026/02/16 19:55:41 WARN [Config] unknown global option: "global-option" (value: "global-value")
BenchmarkConfigLoading/ConfigLoadFromReader-10                        	2026/02/16 19:55:43 WARN [Config] unknown global option: "global-option" (value: "global-value")
BenchmarkConfigLoading/ConfigLoadFromReader-10                        	2026/02/16 19:55:44 WARN [Config] unknown global option: "global-option" (value: "global-value")
BenchmarkConfigLoading/ConfigPathResolution-10                        	 7602998	       159.1 ns/op	      80 B/op	       2 allocs/op
BenchmarkConfigLoading/ConfigPathResolution-10                        	 7492729	       158.8 ns/op	      80 B/op	       2 allocs/op
BenchmarkConfigLoading/ConfigPathResolution-10                        	 7536987	       161.0 ns/op	      80 B/op	       2 allocs/op
BenchmarkConfigLoading/ConfigPathResolution-10                        	 7541238	       159.1 ns/op	      80 B/op	       2 allocs/op
BenchmarkConfigLoading/ConfigPathResolution-10                        	 7600267	       158.9 ns/op	      80 B/op	       2 allocs/op
BenchmarkConfigLoading/ConfigValidation-10                            	31788710	        40.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigValidation-10                            	31258784	        37.74 ns/op	       0 B/op	       0 allocs/op
